accuracy,precision,recall,f1_score,roc_auc,client,round,dataset_size
0.49899799599198397,0.49899799599198397,1.0,0.6657754010695187,0.5016887550200803,1,1,3998
0.8777555110220441,0.9541062801932367,0.7931726907630522,0.8662280701754386,0.9650562248995983,2,1,3998
0.8857715430861723,0.9848484848484849,0.7831325301204819,0.87248322147651,0.9749477911646586,1,2,3998
0.9188376753507014,0.9334719334719335,0.9016064257028112,0.9172625127681308,0.9716064257028113,2,2,3998
0.8857715430861723,0.8243243243243243,0.9799196787148594,0.8954128440366973,0.9794497991967871,1,3,3998
0.8947895791583166,0.8592321755027422,0.9437751004016064,0.8995215311004785,0.9703373493975903,2,3,3998
0.9198396793587175,0.8841911764705882,0.9658634538152611,0.9232245681381958,0.9803132530120482,1,4,3998
0.8707414829659319,0.9320843091334895,0.7991967871485943,0.8605405405405405,0.9567429718875502,2,4,3998
0.9078156312625251,0.9655963302752294,0.8453815261044176,0.9014989293361885,0.9732168674698795,1,5,3998
0.9008016032064128,0.9403973509933775,0.8554216867469879,0.8958990536277602,0.9703815261044176,2,5,3998
0.9188376753507014,0.8956356736242884,0.9477911646586346,0.9209756097560976,0.9781847389558234,1,6,3998
0.906813627254509,0.9832935560859188,0.8273092369477911,0.8985823336968375,0.9735983935742971,2,6,3998
0.845691382765531,0.7662538699690402,0.9939759036144579,0.8653846153846154,0.9830381526104418,1,7,3998
0.908817635270541,0.9320594479830149,0.8815261044176707,0.9060887512899897,0.9723293172690762,2,7,3998
0.9278557114228457,0.9034090909090909,0.9578313253012049,0.9298245614035088,0.9846506024096385,1,8,3998
0.9108216432865731,0.9001956947162426,0.9236947791164659,0.9117938553022795,0.9728955823293173,2,8,3998
0.9188376753507014,0.9178356713426854,0.9196787148594378,0.9187562688064193,0.9799036144578315,1,9,3998
0.8967935871743486,0.8650646950092421,0.9397590361445783,0.9008662175168431,0.9688755020080321,2,9,3998
0.9258517034068137,0.9549356223175965,0.893574297188755,0.9232365145228216,0.9820240963855421,1,10,3998
0.8867735470941884,0.8571428571428571,0.927710843373494,0.8910318225650916,0.9649839357429718,2,10,3998
