accuracy,precision,recall,f1_score,roc_auc,round
0.49974987493746875,0.49974987493746875,1.0,0.6664442961974649,0.5422232232232231,1
0.7478739369684843,0.8843167701863354,0.57007007007007,0.6932440657334145,0.8638313313313313,2
0.8109054527263632,0.9259259259259259,0.6756756756756757,0.78125,0.9190940940940939,3
0.7921460730365183,0.9351230425055929,0.6276276276276276,0.7511230907457322,0.9188178178178179,4
0.7818909454727364,0.9828473413379074,0.5735735735735735,0.7243994943109987,0.9386213713713714,5
0.7953976988494247,0.9697452229299363,0.6096096096096096,0.7486170866625691,0.9349239239239239,6
0.8476738369184592,0.9146268656716418,0.7667667667667668,0.8341954805336237,0.9363143143143144,7
0.8334167083541771,0.9530612244897959,0.7012012012012012,0.8079584775086506,0.9445497997997998,8
0.8289144572286143,0.9600840336134454,0.6861861861861862,0.8003502626970228,0.9418033033033033,9
0.8226613306653326,0.9673676577229877,0.6676676676676677,0.7900503405389399,0.9413113113113114,10
